TeamID,TeamName,FoundedYear,HomeCity,ManagerName,StadiumName,StadiumCapacity,Country
1,Roma United,1883,Rome,Marco Rossi,Roma Arena,52000,Italy
2,Milan City,1875,Milan,Carlos Garcia,Milan Stadium,50000,Italy
3,Turin Stars,1853,Turin,Franco Conti,Turin Ground,48000,Italy
4,Naples FC,1870,Naples,Luca Bianchi,Napoli Park,47000,Italy
5,Venice Rovers,1948,Venice,Giuseppe Romano,Venice Field,46000,Italy
6,Paris Kings,1866,Paris,Jean Lefebvre,Paris Stadium,55000,France
7,Lyon Warriors,1867,Lyon,Claude Dubois,Lyon Arena,53000,France
8,Marseille United,1856,Marseille,Alain Bernard,Marseille Ground,51000,France
9,Bordeaux FC,1904,Bordeaux,Christophe Leroy,Bordeaux Park,49000,France
10,Lille Athletics,1923,Lille,Philippe Martin,Lille Field,47000,France
11,London Lions,1945,London,John Smith,London Stadium,75000,England
12,Manchester Hawks,1905,Manchester,Michael Brown,Manchester Arena,73000,England
13,Liverpool FC,1882,Liverpool,David Wilson,Liverpool Ground,71000,England
14,Chelsea United,1941,Chelsea,Richard Taylor,Chelsea Park,69000,England
15,Arsenal Stars,1865,Arsenal,James Davies,Arsenal Field,67000,England
16,Barcelona FC,1857,Barcelona,Javier Fernández,Barcelona Stadium,99000,Spain
17,Madrid United,1877,Madrid,Antonio López,Madrid Arena,81000,Spain
18,Valencia CF,1941,Valencia,Miguel Torres,Valencia Ground,79000,Spain
19,Seville Stars,1870,Seville,José Romero,Seville Park,77000,Spain
20,Bilbao Rovers,1868,Bilbao,Francisco Gómez,Bilbao Field,75000,Spain
